LocationId,Project,Country,State,City,Neighbourhood,WeekStartDate,WeekNumber,Day,FaireeId,remaining_avail,Slots_less_than_1hr,Slots_1hr_to_2hr,Slots_more_than_2hr,bookable_hours,utilisation_index,non,effective_bookable_hours,effective_remaining_hours,effective_Slots_less_than_1hr,effective_Slots_1hr_to_2hr,effective_Slots_more_than_2hr
117,The Landon,US,NY,New York,Hell's Kitchen Polygon,2026-08-16,2,THURSDAY,73,3.0,1,0,1,8.0000000000000000,0.42857142857142857143,1,3.43,1.29,0.43,0.00,0.43
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,MONDAY,63,1.5,3,0,0,8.0000000000000000,0.45454545454545454545,1,3.64,0.68,1.36,0.00,0.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,MONDAY,97,4.5,3,1,0,8.0000000000000000,0.16666666666666666667,1,1.33,0.75,0.50,0.17,0.00
145,Dey and Bergen,US,NJ,Harrison,Harrison Polygon,2026-07-26,3,MONDAY,15,3.0,2,1,0,8.0000000000000000,0.25000000000000000000,1,2.00,0.75,0.50,0.25,0.00
53,The Eddy,US,NJ,Harrison,Harrison Polygon,2026-07-26,3,FRIDAY,15,2.0,4,0,0,8.0000000000000000,0.33333333333333333333,1,2.67,0.67,1.33,0.00,0.00
117,The Landon,US,NY,New York,Hell's Kitchen Polygon,2026-07-26,3,THURSDAY,60,2.0,2,0,0,8.0000000000000000,0.58333333333333333333,1,4.67,1.17,1.17,0.00,0.00
133,2000 Biscayne,US,FL,Miami,Edgewater Polygon,2026-08-09,1,FRIDAY,134,1.0,1,0,0,8.0000000000000000,0.61538461538461538462,1,4.92,0.62,0.62,0.00,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-07-26,3,MONDAY,110,3.0,1,0,1,8.0000000000000000,0.50000000000000000000,1,4.00,1.50,0.50,0.00,0.50
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-16,2,FRIDAY,60,1.5,0,1,0,8.0000000000000000,0E-20,1,0.00,0.00,0.00,0.00,0.00
121,Flamingo Point Center Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-02,4,MONDAY,137,2.5,1,1,0,8.0000000000000000,0.60000000000000000000,1,4.80,1.50,0.60,0.60,0.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-16,2,FRIDAY,63,4.0,3,1,0,8.0000000000000000,0.40000000000000000000,1,3.20,1.60,1.20,0.40,0.00
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-07-26,3,FRIDAY,73,1.5,3,0,0,8.0000000000000000,0.38461538461538461538,1,3.08,0.58,1.15,0.00,0.00
114,20 Broad Street,US,NY,New York,Financial District Polygon,2026-07-26,3,THURSDAY,45,0.5,1,0,0,8.0000000000000000,0.69230769230769230769,1,5.54,0.35,0.69,0.00,0.00
56,The Dime,US,NY,Brooklyn,Williamsburg Polygon,2026-08-09,1,MONDAY,90,2.5,2,1,0,8.0000000000000000,0.77777777777777777778,1,6.22,1.94,1.56,0.78,0.00
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-16,2,WEDNESDAY,60,0.5,1,0,0,8.0000000000000000,0.07142857142857142857,1,0.57,0.04,0.07,0.00,0.00
42,The Ivy,US,NJ,Chatham,Chatham / West Orange Polygon,2026-08-02,4,FRIDAY,64,4.0,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,4.00,1.00,0.00,1.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,WEDNESDAY,137,4.0,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,4.00,1.00,0.00,1.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,WEDNESDAY,110,2.5,0,0,1,8.0000000000000000,0.11111111111111111111,1,0.89,0.28,0.00,0.00,0.11
122,Flamingo Point North Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-02,4,WEDNESDAY,118,3.5,1,0,1,8.0000000000000000,0.75000000000000000000,1,6.00,2.63,0.75,0.00,0.75
115,Grove Central Residences,US,FL,Miami,Flow Brickell Polygon,2026-08-09,1,WEDNESDAY,149,1.5,0,1,0,8.0000000000000000,0.58333333333333333333,1,4.67,0.87,0.00,0.58,0.00
153,Watermarc at Biscayne Bay,US,FL,Miami,Edgewater Polygon,2026-08-16,2,FRIDAY,134,0,0,0,0,8.0000000000000000,0.33333333333333333333,1,2.67,0.00,0.00,0.00,0.00
104,Midtown 5,US,FL,Miami,Midtown 5,2026-08-09,1,THURSDAY,146,7.5,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,7.50,1.00,0.00,1.00
140,Southgate Towers,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,THURSDAY,110,1.5,2,0,0,8.0000000000000000,0.45454545454545454545,1,3.64,0.68,0.91,0.00,0.00
